date	mjd	half	propid	program
2019-01-01	58484	pm	0404	Schlegel (0404)
2019-01-01	58484	am	0404	Schlegel (0404)
2019-01-02	58485	pm	0404	Schlegel (0404)
2019-01-02	58485	am	0404	Schlegel (0404)
2019-01-03	58486	pm	0312	#Bechtol (0312)
2019-01-03	58486	am	0908	C - Puzia (0908)
2019-01-04	58487	pm	0001	DES - Frieman (0001)
2019-01-04	58487	am	0908	C - Puzia (0908)
2019-01-05	58488	pm	0108	Martini (0108)
2019-01-05	58488	am	0908	C - Puzia (0908)
2019-01-06	58489	pm	0108	Martini (0108)
2019-01-06	58489	am	0908	C - Puzia (0908)
2019-01-07	58490	pm	0108	Martini (0108)
2019-01-07	58490	am	0908	C - Puzia (0908)
2019-01-08	58491	pm	0312	Bechtol (0312)
2019-01-08	58491	am	0908	C - Puzia (0908)
2019-01-09	58492	pm	0001	#DES - Frieman (0001)
2019-01-09	58492	am	0271	Finkbeiner (0271)
2019-01-10	58493	pm	0282	Sheppard (0282)
2019-01-10	58493	am	0271	Finkbeiner (0271)
2019-01-11	58494	pm	0282	Sheppard (0282)
2019-01-11	58494	am	0271	Finkbeiner (0271)
2019-01-12	58495	pm	0282	Sheppard (0282)
2019-01-12	58495	am	0271	Finkbeiner (0271)
2019-01-13	58496	pm	0282	Sheppard (0282)
2019-01-13	58496	am	0271	Finkbeiner (0271)
2019-01-14	58497	pm	0282	Sheppard (0282)
2019-01-14	58497	am	0271	Finkbeiner (0271)
2019-01-15	58498	pm	0282	Sheppard (0282)
2019-01-15	58498	am	0271	Finkbeiner (0271)
2019-01-16	58499	pm		#Eng-DECam
2019-01-16	58499	am	0271	Finkbeiner (0271)
2019-01-17	58500	pm	0386	#Zenteno (0386)
2019-01-17	58500	am	0271	Finkbeiner (0271)
2019-01-18	58501	pm	0386	#Zenteno (0386)
2019-01-18	58501	am	0271	Finkbeiner (0271)
2019-01-19	58502	pm	0941	#Walker (0941)
2019-01-19	58502	am	0941	#Walker (0941)
2019-01-20	58503	pm	0941	#Walker (0941)
2019-01-20	58503	am	0941	#Walker (0941)
2019-01-21	58504	pm		Eng - COSMOS
2019-01-21	58504	am		Eng - COSMOS
2019-01-22	58505	pm		Eng - COSMOS
2019-01-22	58505	am		Eng - COSMOS
2019-01-23	58506	pm		Eng - COSMOS
2019-01-23	58506	am		Eng - COSMOS
2019-01-24	58507	pm	3003	Massaro (3003)
2019-01-24	58507	am	3003	Massaro (3003)
2019-01-25	58508	pm	3003	Massaro (3003)
2019-01-25	58508	am	3003	Massaro (3003)
2019-01-26	58509	pm	3003	Massaro (3003)
2019-01-26	58509	am	3003	Massaro (3003)
2019-01-27	58510	pm	3001	Marchesi (3001)
2019-01-27	58510	am	3001	Marchesi (3001)
2019-01-28	58511	pm	3001	Marchesi (3001)
2019-01-28	58511	am	3001	Marchesi (3001)
